Keywords_relevance,Hashtags_relevance,binary_Mentions_relevance,Interaction_rate,Mention_count,Followers_Followings,Seniority,Listed_count,Length,binary_Hashtags,binary_URL,binary_Multimdia,Popularity,Relevance
1,0,0,0,0,7,7,245,139,0,1,0,16,0
0,1,0,0.14,0,2,1,67,121,1,0,0,3,1
0,0,0,0,0,2,4,45,138,1,0,1,3,0
0,0,0,0,0,957,8,1144,136,0,1,0,6,0
0,0,0,0.2,0,484,8,4632,136,1,1,0,54,1
1,1,0,0.33,0,484,8,4632,111,1,0,0,42,1
1,2,0,0.43,0,484,8,4632,136,1,1,0,24,1
0,0,0,0,0,4,4,346,140,1,1,0,23,0
1,3,0,0.5,0,484,8,4632,53,1,0,0,65,1
0,4,0,0.56,0,484,8,4632,35,1,0,0,180,1
0,5,0,0.6,0,484,8,4632,138,1,1,0,93,1
0,6,0,0.97,0,129,7,544,137,1,1,0,21,1
2,0,0,0,0,2,4,45,138,1,1,0,52,0
0,7,0,0.64,0,484,8,4632,135,1,0,0,48,0
0,7,0,0.58,0,484,8,4632,62,1,0,1,117,1
2,0,0,0,0,3,8,300,130,0,0,0,1,0
0,0,0,0,0,957,8,1144,137,0,1,0,20,0
1,9,0,0.62,0,484,8,4632,137,1,0,1,41,1
0,0,0,0,0,1364,1,194,43,0,0,1,0,0
1,9,0,0,0,3,8,300,124,1,1,0,2,0
0,0,0,0,0,3,8,300,105,0,1,0,5,1
2,10,0,0.64,0,484,8,4632,138,1,1,0,172,0
0,0,0,0,0,1364,1,194,43,0,0,1,3,0
1,0,0,0.97,0,129,7,544,55,0,1,0,31,1
0,0,0,0,0,1364,1,194,102,0,1,0,0,0
2,0,0,0.38,0,9,6,35,139,0,1,0,7,1
0,0,0,0,0,957,8,1144,139,0,1,0,3,0
0,0,0,0,0,3723,7,8304,50,0,1,0,237,0
1,0,0,0.43,0,9,6,35,139,0,1,0,44,1
0,0,0,0,0,1364,1,194,43,0,0,1,0,0
0,0,0,0,0,1364,1,194,43,0,0,1,0,0
1,1,0,0.97,0,129,7,544,75,1,1,0,16,1
2,2,0,0,0,2,4,45,87,1,0,1,7,0
0,0,0,0,0,1364,1,194,43,0,0,1,0,0
1,2,0,0.2,0,2,1,67,127,1,1,0,2,1
0,0,0,0,0,1364,1,194,43,0,0,1,0,0
1,0,0,0,0,1,0,33,139,0,1,0,9,0
4,0,0,0.97,0,129,7,544,139,0,1,0,32,1
1,0,0,0,0,10,5,74,134,0,1,0,2,0
0,0,0,0,0,1364,1,194,43,0,0,1,0,0
0,0,0,0.25,0,2,1,67,130,1,1,0,1,1
0,0,0,0,0,1364,1,194,43,0,0,1,2,0
0,0,0,0,0,1364,1,194,43,0,0,1,2,0
0,0,0,0.29,0,2,1,67,123,0,0,0,7,1
0,0,0,0,0,1364,1,194,43,0,0,1,0,0
0,0,0,0,0,1364,1,194,102,0,1,0,1,0
0,3,0,0.33,0,2,1,67,31,1,0,0,4,1
0,0,0,0,0,2,4,45,108,1,0,0,0,0
0,0,0,0,0,1,3,61,118,0,0,0,2,0
0,0,0,0.97,0,129,7,544,139,0,1,0,16,1
0,0,0,0,0,1364,1,194,43,0,0,1,1,0
0,0,0,0,0,1364,1,194,102,0,1,0,0,0
0,0,0,0.37,0,2,1,67,140,0,1,0,5,1
0,0,0,0,0,15,4,217,71,0,1,0,9,0
0,0,0,0,0,2,4,45,118,0,1,0,0,0
0,0,0,0.97,0,129,7,544,133,0,1,0,124,1
3,0,0,0,0,1562,8,584,115,0,1,0,2,0
0,0,0,0,0,1364,1,194,43,0,0,1,0,0
2,0,0,0.97,0,129,7,544,96,0,1,0,5,1
3,0,0,0,0,8,2,283,112,1,1,0,12,0
0,0,0,0,0,4,3,228,82,0,1,0,3,0
1,0,0,0.98,0,129,7,544,139,0,1,0,54,1
3,0,0,0.43,0,432,4,3613,87,0,0,0,168,0
3,0,0,0,0,1562,8,584,113,0,1,0,1,0
8,0,0,0.6,0,484,8,4632,131,1,1,0,167,1
0,0,0,0.98,0,129,7,544,139,0,1,0,30,1
0,0,0,0.08,0,3,8,300,27,0,0,0,1,0
3,0,0,0.56,1,2,5,195,119,1,0,1,69,1
2,0,0,0,0,3723,7,8304,138,0,0,0,2094,1
0,0,0,0,0,18901,6,11556,33,0,1,0,3,0
4,0,0,0.38,0,432,4,3613,48,0,1,0,265,1
0,0,0,0,0,1364,1,194,43,0,0,1,0,0
0,0,0,0.08,0,3,8,300,138,1,1,0,5,0
1,2,0,0.63,0,484,8,4632,135,1,0,0,61,1
6,1,0,0.65,0,484,8,4632,139,1,1,0,155,1
1,5,0,0.98,1,129,7,544,139,1,1,0,24,1
6,0,0,0,0,17,6,75,134,0,0,1,0,0
11,0,0,0,0,18901,6,11556,137,0,0,1,15470,0
1,1,0,0.67,0,484,8,4632,121,1,0,1,82,1
2,2,0,0.68,0,484,8,4632,139,1,1,0,83,1
3,3,0,0.7,0,484,8,4632,136,1,0,0,68,0
1,0,0,0,0,2,5,136,100,1,1,0,8,0
0,0,0,0.6,1,2,5,195,42,0,1,0,21,1
0,0,0,0,0,1364,1,194,43,0,0,1,5,0
0,0,0,0,0,1364,1,194,43,0,0,1,1,0
3,3,0,0.67,0,484,8,4632,103,1,0,0,142,1
3,0,0,0,0,1562,8,584,113,0,1,0,1,0
0,0,0,0.5,0,3723,7,8304,122,0,1,0,87,0
0,0,0,0.44,0,432,4,3613,140,0,0,0,1378,1
0,0,0,0,0,1364,1,194,43,0,0,1,0,0
0,0,0,0.07,0,3,8,300,128,0,0,0,3,0
4,1,0,0,0,1,3,61,100,1,1,0,3,1
0,0,0,0,0,1364,1,194,43,0,0,1,1,0
6,0,0,0.5,0,432,4,3613,110,0,0,1,462,0
2,0,0,0.98,1,129,7,544,124,0,1,0,23,1
3,0,0,0.98,1,129,7,544,132,0,1,0,27,0
0,0,0,0,0,957,8,1144,139,0,1,0,6,0
0,0,0,0.96,1,129,7,544,133,0,1,0,14,1
0,0,0,0,0,10,5,74,105,0,1,0,0,0
0,0,0,0.45,0,432,4,3613,67,0,0,0,0,0
3,0,0,0.96,1,129,7,544,136,1,1,0,20,1
2,0,0,0.07,0,3,8,300,140,0,0,0,4,0
0,0,0,0,0,10,5,74,128,0,1,0,0,0
1,0,0,0.96,1,129,7,544,135,1,0,1,66,1
0,0,0,0,0,11,7,70,129,0,1,0,6,0
0,0,0,0,0,1364,1,194,102,0,1,0,0,0
0,0,0,0,0,22,8,912,102,1,0,1,73,1
0,0,0,0.33,0,3723,7,8304,138,0,1,0,92,0
1,0,0,0,0,4,4,346,133,0,0,0,1,0
5,4,0,0.96,1,129,7,544,139,1,1,0,13,1
0,0,0,0,0,1364,1,194,43,0,0,1,1,0
10,0,0,0,0,4,3,228,136,0,0,0,6,0
4,0,0,0,0,4,3,228,95,1,0,0,4,1
2,1,0,0.33,0,4,3,228,140,1,0,0,6,1
15,0,0,0.5,0,4,3,228,139,0,1,0,19,1
1,2,0,0.6,0,4,3,228,137,1,1,0,10,1
0,0,0,0.68,1,484,8,4632,46,1,1,0,64,0
9,0,0,0,0,2,8,942,130,0,1,0,19,0
6,0,0,0.67,0,4,3,228,78,0,1,0,19,1
0,0,0,0,0,1364,1,194,43,0,0,1,1,0
0,0,0,0,0,1364,1,194,101,0,1,0,4,0
0,6,0,0.47,0,9,6,35,139,1,1,0,48,1
0,0,0,0,0,2,8,942,126,0,0,0,11,0
0,0,0,0,0,1364,1,194,100,0,1,0,1,0
7,0,0,0.96,1,129,7,544,115,0,1,0,26,1
6,2,0,0,0,2,4,45,93,1,0,1,2,0
1,0,0,0,0,87,9,3758,122,0,1,0,131,0
1,0,0,1,1,1,4,28,27,0,0,0,3,1
0,0,0,0.42,0,432,4,3613,47,0,0,0,12057,1
8,0,0,0.46,0,432,4,3613,64,0,0,0,12909,1
3,0,0,0.33,0,22,8,912,79,0,0,0,12,1
0,0,0,0,0,0,3,16,66,1,0,1,2,0
0,0,0,0,0,7,7,245,53,1,1,0,3,0
0,0,0,0,0,0,3,16,139,1,0,0,1,1
0,0,0,0,0,1364,1,194,101,0,1,0,3,0
0,0,0,0,0,1364,1,194,100,0,1,0,3,0
0,0,0,0,0,0,3,7,5,0,0,0,2,1
2,0,0,0,0,2,8,942,85,0,0,0,25,1
2,0,0,0,0,17,6,75,100,0,0,0,1,0
0,0,0,0,0,1364,1,194,103,0,1,0,0,0
0,0,0,0.33,0,2,8,942,136,0,0,0,29,1
0,0,1,0.71,1,4,3,228,133,0,0,1,12,1
0,0,0,0,0,10,5,74,138,0,1,0,1,0
0,0,0,0,0,1364,1,194,102,0,1,0,4,0
0,0,0,0.5,0,2,8,942,63,0,0,0,20,1
4,0,0,0.25,0,3723,7,8304,42,0,1,0,568,0
0,0,0,0,0,2,5,136,90,0,1,0,4,0
10,0,0,0.75,1,4,3,228,140,0,0,1,11,1
0,0,0,0,0,8,2,283,47,0,1,0,1,0
2,0,0,0,0,1,0,33,74,1,0,1,4,0
7,0,0,0.5,0,432,4,3613,52,0,0,0,299,1
0,0,0,0,0,1364,1,194,103,0,1,0,2,0
0,0,0,0,0,4,4,346,130,0,1,0,17,0
0,0,0,0.4,0,2,1,67,98,1,0,1,13,1
0,0,0,0.53,0,432,4,3613,113,0,0,0,486,0
0,0,0,0,0,18901,6,11556,138,0,1,0,337,0
0,0,0,0.6,0,2,8,942,60,0,0,1,11,1
3,0,0,0.06,0,3,8,300,123,0,0,1,47,0
0,0,0,0,0,1364,1,194,43,0,0,1,3,0
8,0,0,0.96,1,129,7,544,139,0,1,0,23,1
0,0,0,0,0,5852,8,15765,137,0,1,0,167,0
0,0,0,0.06,0,3,8,300,93,0,1,0,4,0
9,11,0,0.96,1,129,7,544,117,1,0,1,53,1
0,0,0,0,0,8,2,283,107,1,1,0,12,0
0,0,0,0,0,10,5,74,99,0,1,0,0,0
0,0,0,0.64,1,2,5,195,139,1,1,0,17,1
0,0,0,0,0,1364,1,194,101,0,1,0,0,0
1,0,0,0.65,1,484,8,4632,130,1,1,0,56,0
1,0,0,0.67,1,2,5,195,136,0,1,0,27,1
0,0,0,0,0,1364,1,194,43,0,0,1,8,0
0,0,0,0,0,4,4,346,137,0,1,0,11,0
0,0,0,0.96,1,129,7,544,138,0,1,0,21,1
0,0,0,0,0,1,0,33,90,1,0,1,8,0
0,0,0,0.5,0,22,8,912,139,0,1,0,23,0
8,6,0,0.96,1,129,7,544,136,1,1,0,37,1
0,0,0,0,0,1364,1,194,43,0,0,1,19,0
0,0,0,0.5,0,432,4,3613,123,0,0,0,543,0
3,0,0,0.47,0,432,4,3613,100,0,0,0,893,1
0,0,0,0,0,957,8,1144,126,0,1,0,8,0
0,0,0,0,0,13,8,497,13,0,0,0,1,0
4,0,0,0.96,1,129,7,544,138,0,1,0,77,1
0,0,0,1,1,1,4,28,85,0,1,0,3,1
0,0,0,0.2,0,3723,7,8304,49,0,0,0,0,0
0,0,0,0,0,8,2,283,30,0,1,0,3,0
0,0,0,0.43,0,2,1,67,57,0,1,0,2,1
1,0,0,0.45,0,2,1,67,117,0,1,0,3,1
0,0,0,0,0,4,1,64,122,1,1,0,6,0
0,0,0,0,0,1364,1,194,43,0,0,1,4,0
0,0,0,0.5,0,0,3,7,45,0,0,1,1,1
0,0,0,0,0,957,8,1144,134,0,1,0,6,0
0,10,0,0.48,0,2,1,67,28,1,0,0,10,1
6,0,0,0.78,1,4,3,228,71,0,1,0,15,1
0,0,0,0,0,957,8,1144,126,0,1,0,3,0
0,0,0,0,0,87,9,3758,134,1,1,0,20,0
0,0,0,0.8,1,4,3,228,47,0,0,1,9,1
0,0,0,0.06,0,3,8,300,84,0,1,0,12,0
6,0,0,0,0,87,9,3758,139,1,1,0,36,0
0,0,0,0.5,0,432,4,3613,137,0,1,0,212,1
0,0,0,0,0,1364,1,194,43,0,0,1,0,0
0,0,0,0.5,0,342146,7,39624,47,0,0,1,49590,0
2,11,0,0.5,0,2,1,67,139,1,1,0,66,1
0,0,0,0,0,957,8,1144,137,0,1,0,13,0
0,0,0,0,0,957,8,1144,126,0,1,0,8,0
0,0,0,0,0,10,8,406,45,0,1,0,5,1
10,0,0,1,0,10,8,406,140,1,1,0,6,1
0,0,0,0,0,1364,1,194,43,0,0,1,3,0
22,0,0,0.82,1,4,3,228,139,0,1,0,7,0
12,1,0,0.75,1,4,3,228,129,1,1,0,15,1
7,15,0,0.52,0,2,1,67,112,1,0,0,14,0
0,0,0,0,0,2,5,136,80,1,0,1,4,0
1,0,0,0.5,0,9,6,35,139,0,1,0,8,1
0,0,0,0.67,0,0,3,7,125,0,0,1,0,0
0,0,0,0,0,13,8,497,79,0,0,1,15,0
4,0,0,0.96,1,129,7,544,139,0,1,0,23,1
0,0,0,0,0,1364,1,194,43,0,0,1,1,0
0,0,0,0.77,1,4,3,228,139,0,1,0,3,0
11,0,0,0.71,1,4,3,228,139,1,0,0,15,1
0,0,0,0,0,2,4,45,137,0,1,0,37,0
0,0,0,0,0,17,6,75,138,0,1,0,22,0
0,0,0,0.5,0,2,1,67,133,0,1,0,10,1
0,0,0,0,0,8,2,283,23,0,1,0,1,0
6,0,0,0,0,8,2,283,140,0,0,0,7,0
6,0,0,0.69,1,2,5,195,138,0,0,0,109,1
0,0,0,0,0,8,2,283,78,0,1,0,2,0
8,0,0,0.05,0,3,8,300,139,0,1,0,16,0
1,0,0,0.96,1,129,7,544,139,1,1,0,20,1
0,0,0,0,0,1364,1,194,43,0,0,1,1,0
0,0,0,0,0,10,5,74,117,0,1,0,0,0
4,1,0,0.97,1,129,7,544,137,1,1,0,17,1
0,0,0,0.67,0,2,8,942,65,0,1,0,7,0
0,0,0,0.05,0,3,8,300,94,1,0,0,3,0
1,1,0,0.57,0,2,8,942,85,1,0,0,1,1
0,0,0,0.63,0,2,8,942,42,0,1,0,5,0
2,14,0,0.53,0,9,6,35,139,1,1,0,31,1
0,0,0,0,0,10,5,74,86,0,1,0,0,0
4,0,0,0,0,10,5,74,125,0,1,0,2,0
2,8,0,0.56,0,9,6,35,139,1,1,0,9,1
4,0,0,0,0,10,5,74,138,0,1,0,0,0
0,0,0,0.05,0,3,8,300,126,0,1,0,7,0
3,0,0,0.58,0,9,6,35,139,0,1,0,6,1
0,0,0,0.97,1,129,7,544,134,0,1,0,16,0
3,9,0,0.6,0,9,6,35,139,1,0,0,10,1
2,0,0,0.95,1,129,7,544,46,0,1,0,15,0
0,0,0,0,0,17,6,75,80,0,1,0,7,0
6,0,0,0.62,0,9,6,35,139,0,1,0,4,1
0,0,0,0,0,4,4,346,139,0,1,0,17,0
0,0,0,0,0,1364,1,194,43,0,0,1,3,0
0,0,0,0.53,0,432,4,3613,35,0,0,1,755,1
15,2,0,0,0,4,4,346,139,1,1,0,19,0
0,0,0,0,0,4,4,346,140,0,1,0,2,0
0,0,0,0,0,13,8,497,38,0,0,0,22,1
1,0,0,0.33,0,13,8,497,80,0,0,0,5,0
3,0,0,0.93,1,129,7,544,139,0,1,0,45,1
0,0,0,0.25,0,13,8,497,113,1,0,0,83,0
0,0,0,0,0,1364,1,194,43,0,0,1,6,0
2,0,0,0.2,0,13,8,497,127,0,1,0,7,1
0,0,0,1,0,10,8,406,76,0,1,0,2,0
3,0,0,0.5,0,0,3,7,114,0,0,1,0,0
3,0,0,0.94,1,129,7,544,138,0,1,0,169,1
0,0,0,0.56,0,2,8,942,125,1,1,0,18,0
0,0,0,0,0,957,8,1144,134,0,1,0,8,0
0,0,0,0.4,0,0,3,7,61,1,0,1,2,1
0,0,0,0.5,0,2,8,942,140,1,0,0,1,0
0,0,0,0.45,0,2,8,942,134,1,1,0,1,0
0,0,0,0.42,0,2,8,942,121,0,1,0,10,1
0,0,0,0,0,87,9,3758,134,0,1,0,77,0
0,0,0,0,0,18901,6,11556,134,0,1,0,373,0
0,4,0,0.94,1,129,7,544,139,1,1,0,17,1
0,0,0,0.55,0,432,4,3613,58,0,0,1,327,1
2,0,0,0.94,1,129,7,544,126,1,1,0,43,1
0,0,0,0.5,0,1,3,61,130,0,0,0,4,0
0,0,0,0,0,957,8,1144,129,0,1,0,8,0
0,0,0,0.57,1,432,4,3613,28,0,0,0,682,1
0,0,0,0,0,18901,6,11556,92,0,0,1,414,0
1,0,0,0.46,0,2,8,942,87,0,0,0,9,1
0,0,0,0,0,1364,1,194,43,0,0,1,6,0
0,0,0,0,0,1364,1,194,43,0,0,1,24,0
6,10,0,0.64,0,9,6,35,139,1,1,0,22,1
0,0,0,0,0,957,8,1144,126,0,1,0,12,0
0,0,0,0,0,957,8,1144,136,0,1,0,7,0
0,11,0,0.65,0,9,6,35,77,1,1,0,11,1
0,0,0,0.67,0,10,8,406,114,0,1,0,1,0
11,0,0,0,0,2,4,45,80,0,1,0,13,0
3,0,0,0.67,0,9,6,35,139,0,1,0,14,1
0,0,0,0,0,957,8,1144,134,0,1,0,14,0
12,0,0,0,0,15,4,217,98,1,1,0,11,0
0,0,0,0.33,0,13,8,497,41,0,0,1,47,1
4,0,0,0.5,0,2,8,942,135,0,0,0,14,0
0,0,0,0.43,0,13,8,497,71,0,1,0,5,0
3,0,0,0.94,1,129,7,544,132,0,1,0,23,1
0,0,0,0,0,1364,1,194,43,0,0,1,3,0
11,0,0,0.59,1,432,4,3613,87,0,0,0,763,0
5,0,0,0.94,1,129,7,544,137,1,1,0,18,1
2,0,0,0.73,1,4,3,228,119,0,0,1,21,0
8,2,0,1,1,1,5,28,104,1,0,1,8,0
0,0,0,0.94,1,129,8,544,48,0,1,0,14,1
1,0,0,0.25,0,0,4,16,125,0,0,1,0,0
16,1,0,0.05,0,3,9,300,132,1,1,0,45,0
11,0,0,0.5,0,10,9,406,97,1,1,0,4,1
4,0,0,0.6,0,10,9,406,110,0,1,0,7,1
15,1,0,0.04,0,3,9,300,121,1,0,1,13,0
0,0,0,0.38,0,13,9,497,120,0,1,0,15,0
14,0,0,0.67,0,10,9,406,81,0,1,0,5,1
0,0,0,0,0,18901,7,11556,84,0,0,1,942,0
0,0,0,0,0,1364,2,194,43,0,0,1,3,0
6,0,0,0.94,1,129,8,544,131,0,1,0,5,1
8,0,0,0,0,7,8,245,130,0,1,0,3,0
0,0,0,0,0,957,9,1144,139,0,1,0,5,0
27,0,0,0.94,1,129,8,544,134,0,1,0,19,1
31,0,0,0,0,4,5,346,95,0,0,1,38,0
0,0,0,0,0,957,9,1144,136,0,1,0,4,0
3,2,0,0.94,1,129,8,544,95,1,0,1,43,1
0,0,0,0.69,1,4,4,228,127,1,1,0,11,0
5,0,0,0.47,0,2,9,942,131,0,1,0,8,0
0,0,0,0.71,1,2,6,195,138,0,1,0,35,1
0,0,0,0,0,1364,2,194,43,0,0,1,1,0
0,0,0,0.73,1,2,6,195,131,1,1,0,57,0
0,12,0,0.94,2,129,8,544,138,1,1,0,10,1
0,0,0,0.04,0,3,9,300,134,0,0,0,0,0
0,0,0,0.63,1,484,9,4632,138,1,1,0,90,0
13,0,0,0.88,1,1,5,28,72,0,1,0,1,1
0,0,0,0,0,17,7,75,39,0,1,0,1,0
0,0,0,0,0,1364,2,194,43,0,0,1,1,0
3,0,0,0.57,1,432,5,3613,105,0,1,0,191,1
0,0,0,0,0,10,6,74,89,0,1,0,0,0
